 
add-none,2,100,400,205249,513,0
add-none,2,1000,4000,228566,57,0
add-none,2,10000,40000,607788,15,-3937
add-none,2,100000,400000,3920362,9,-22977
add-none,4,100,800,219433,274,0
add-none,4,1000,8000,263522,32,0
add-none,4,10000,80000,1177324,14,4503
add-none,4,100000,800000,10309438,12,-33294
add-none,8,100,1600,318981,199,0
add-none,8,1000,16000,350230,21,-48
add-none,8,10000,160000,2196588,13,-5877
add-none,8,100000,1600000,18124050,11,-31296
add-none,12,100,2400,448436,186,0
add-none,12,1000,24000,426807,17,226
add-none,12,10000,240000,3205265,13,-608
add-none,12,100000,2400000,30014461,12,-28356
add-yield-none,2,10,40,180546,4513,0
add-yield-none,4,10,80,235343,2941,6
add-yield-none,8,10,160,376581,2353,12
add-yield-none,12,10,240,419498,1747,10
add-yield-none,2,20,80,187793,2347,16
add-yield-none,4,20,160,267341,1670,34
add-yield-none,8,20,320,332559,1039,53
add-yield-none,12,20,480,463460,965,59
add-yield-none,2,40,160,228171,1426,4
add-yield-none,4,40,320,221414,691,51
add-yield-none,8,40,640,345243,539,41
add-yield-none,12,40,960,464269,483,96
add-yield-none,2,80,320,241284,754,14
add-yield-none,4,80,640,307839,480,78
add-yield-none,8,80,1280,430390,336,144
add-yield-none,12,80,1920,489722,255,188
add-yield-none,2,100,400,334407,836,42
add-yield-none,4,100,800,341572,426,70
add-yield-none,8,100,1600,486989,304,123
add-yield-none,12,100,2400,549001,228,108
add-yield-none,2,1000,4000,1552767,388,13
add-yield-none,4,1000,8000,1691727,211,30
add-yield-none,8,1000,16000,2069076,129,143
add-yield-none,12,1000,24000,2352164,98,225
add-yield-none,2,10000,40000,14917747,372,-47
add-yield-none,4,10000,80000,14718881,183,73
add-yield-none,8,10000,160000,17827224,111,-1220
add-yield-none,12,10000,240000,22667854,94,192
add-yield-none,2,100000,400000,127765280,319,272
add-yield-none,4,100000,800000,151407989,189,-3518
add-yield-none,8,100000,1600000,166172563,103,124
add-yield-none,12,100000,2400000,221515447,92,-5725
add-none,1,100,200,148096,740,0
add-none,1,1000,2000,155416,77,0
add-none,1,10000,20000,266843,13,0
add-none,1,100000,200000,1482403,7,0
add-none,1,1000000,2000000,12947724,6,0
add-none,2,100,400,208335,520,0
add-none,2,1000,4000,199448,49,243
add-none,2,10000,40000,563987,14,-73
add-none,2,100000,400000,3601001,9,-6371
add-none,2,1000000,4000000,46677976,11,-353729
add-none,4,100,800,202038,252,0
add-none,4,1000,8000,268876,33,-1089
add-none,4,10000,80000,960102,12,3280
add-none,4,100000,800000,8754000,10,-26689
add-none,4,1000000,8000000,99121651,12,-389223
add-yield-none,1,100,200,267325,1336,0
add-yield-none,1,1000,2000,1473264,736,0
add-yield-none,1,10000,20000,12157828,607,0
add-yield-none,1,100000,200000,115440376,577,0
add-yield-none,1,1000000,2000000,1161207887,580,0
add-yield-none,2,100,400,327362,818,51
add-yield-none,2,1000,4000,1634191,408,45
add-yield-none,2,10000,40000,14202118,355,-60
add-yield-none,2,100000,400000,140134108,350,-8251
add-yield-none,2,1000000,4000000,1365900288,341,334
add-yield-none,4,100,800,348572,435,36
add-yield-none,4,1000,8000,1763316,220,84
add-yield-none,4,10000,80000,15034680,187,60
add-yield-none,4,100000,800000,145034987,181,2361
add-yield-none,4,1000000,8000000,1460058828,182,-56041
add-yield-m,2,10000,40000,48653885,1216,0
add-yield-m,4,10000,80000,115187294,1439,0
add-yield-m,8,10000,160000,250361936,1564,0
add-yield-m,12,10000,240000,383561667,1598,0
add-yield-c,2,10000,40000,27289766,682,0
add-yield-c,4,10000,80000,56129052,701,0
add-yield-c,8,10000,160000,123562499,772,0
add-yield-c,12,10000,240000,197725748,823,0
add-yield-s,2,10000,40000,26050029,651,0
add-yield-s,4,10000,80000,105435653,1317,0
add-yield-s,8,1000,16000,24721889,1545,0
add-yield-s,12,1000,24000,46838873,1951,0
add-m,1,10000,20000,778705,38,0
add-m,2,10000,40000,3315542,82,0
add-m,4,10000,80000,17113552,213,0
add-m,8,10000,160000,36690112,229,0
add-m,12,10000,240000,52574913,219,0
add-c,1,10000,20000,552998,27,0
add-c,2,10000,40000,3908640,97,0
add-c,4,10000,80000,8096177,101,0
add-c,8,10000,160000,12664610,79,0
add-c,12,10000,240000,22078472,91,0
add-s,1,10000,20000,489492,24,0
add-s,2,10000,40000,3843265,96,0
add-s,4,10000,80000,19084800,238,0
add-s,8,10000,160000,57930601,362,0
add-s,12,10000,240000,126727477,528,0
add-none,2,100,400,573776,1434,0
add-none,2,1000,4000,622134,155,0
add-none,2,10000,40000,1068839,26,220
add-none,2,100000,400000,6922122,17,-19863
add-none,4,100,800,990001,1237,0
add-none,4,1000,8000,845445,105,0
add-none,4,10000,80000,1791970,22,-4060
add-none,4,100000,800000,13991161,17,-50136
add-none,8,100,1600,1259927,787,0
add-none,8,1000,16000,1653165,103,0
add-none,8,10000,160000,2581755,16,-5198
add-none,8,100000,1600000,24726069,15,-36819
add-none,12,100,2400,447044,186,0
add-none,12,1000,24000,554930,23,869
add-none,12,10000,240000,3902796,16,-8519
add-none,12,100000,2400000,37734931,15,-70291
add-yield-none,2,10,40,550555,13763,0
add-yield-none,4,10,80,888216,11102,1
add-yield-none,8,10,160,1195061,7469,2
add-yield-none,12,10,240,2019289,8413,22
add-yield-none,2,20,80,666231,8327,15
add-yield-none,4,20,160,1004044,6275,24
add-yield-none,8,20,320,1618454,5057,47
add-yield-none,12,20,480,2556565,5326,43
add-yield-none,2,40,160,936440,5852,7
add-yield-none,4,40,320,1690618,5283,31
add-yield-none,8,40,640,1753259,2739,68
add-yield-none,12,40,960,2467061,2569,98
add-yield-none,2,80,320,1378057,4306,0
add-yield-none,4,80,640,1349964,2109,1
add-yield-none,8,80,1280,6527377,5099,50
add-yield-none,12,80,1920,3243736,1689,307
add-yield-none,2,100,400,1300497,3251,0
add-yield-none,4,100,800,1565184,1956,104
add-yield-none,8,100,1600,2436841,1523,65
add-yield-none,12,100,2400,4022901,1676,111
add-yield-none,2,1000,4000,13426539,3356,20
add-yield-none,4,1000,8000,13452691,1681,18
add-yield-none,8,1000,16000,27802814,1737,45
add-yield-none,12,1000,24000,32572081,1357,58
add-yield-none,2,10000,40000,98739612,2468,120
add-yield-none,4,10000,80000,126618182,1582,784
add-yield-none,8,10000,160000,139733447,873,472
add-yield-none,12,10000,240000,218568409,910,4836
add-yield-none,2,100000,400000,576777918,1441,3386
add-yield-none,4,100000,800000,859960965,1074,-46580
add-yield-none,8,100000,1600000,1364568912,852,5637
add-yield-none,12,100000,2400000,1648250529,686,-18463
add-none,1,100,200,532160,2660,0
add-none,1,1000,2000,552285,276,0
add-none,1,10000,20000,632404,31,0
add-none,1,100000,200000,1890900,9,0
add-none,1,1000000,2000000,14162453,7,0
add-none,2,100,400,191858,479,0
add-none,2,1000,4000,206827,51,0
add-none,2,10000,40000,637761,15,-9421
add-none,2,100000,400000,5239184,13,-46180
add-none,2,1000000,4000000,61519599,15,-38262
add-none,4,100,800,252919,316,0
add-none,4,1000,8000,269624,33,97
add-none,4,10000,80000,1686064,21,358
